IND;2003;1;2003;;PMSP;PODA DE ÁRVORES;RUA ENG PRUDENTE;;VILA MONUMENTO;DALTON SILVANO DO AMARAL;
IND;;2;2003;;PMSP;LIMPEZA DE TERRENO E CORTE DE MATO;RUA NASCER DO SOL;;CIDADE TIRADENTES;DALTON SILVANO DO AMARAL;
IND;;3;2003;;PMSP;LIMPEZA DE TERRENO E CORTE DE MATO.;RUA ARARAS;;MO. DA POLVORA;DALTON SILVANO DO AMARAL;
IND;;4;2003;;ILUME;ILUMINAÇÃO;FINAL DA RUA ARMANDO FERRENTINI;;MO. DA ACLIMAÇÃO;DALTON SILVANO DO AMARAL;
IND;;5;2003;;PMSP;DESOBSTRUÇÃO DA GALERIAS;RUA HORÁCIO MOURA;;LIMÃO;DALTON SILVANO DO AMARAL;
IND;;6;2003;;PMSP;DESOBSTRUÇÃO DAS GALERIAS AO REDOR DA PRAÇA.;PÇA JOSÉ GOMES VIEIRA;;LIMÃO;DALTON SILVANO DO AMARAL;
IND;;7;2003;;PMSP;REMOÇÃO DE ÁRVORE COM CUPIM.;RUA FREIRE DA SILVA;;CAMBUCI;DALTON SILVANO DO AMARAL;
IND;;8;2003;;SUBPREEITURA DO IPIRANGA;LIMPEZA DE TERRENO;RUA BRIGADEIRO AMILCAR;;IPIRANGA;WILLIAM BOSS WOO;
IND;;9;2003;;SBPREFEITURA FREGUESIA DO Ó;REMOÇÃO DE ÁRVORE;RUA FILOMENA BOCHI PILLI;;FREGUESIA DO Ó;DALTON SILVANO DO AMARAL;
IND;;10;2003;;SUBPREFEITURA DA SÉ;REMOÇÃO DE ÁRVORE;RUA FREIRE DA SILVA;;CAMBUCI;DALTON SILVANO DO AMARAL;
IND;;11;2003;;SUBPREFEITURA DE VILA MARIANA;REMOÇÃO DE ÁRVORE;RUA ANDRÉ MENDES;;JARDIM DA SAÚDE;DALTON SILVANO DO AMARAL;
IND;;12;2003;;SUBPREFEITURA DE VILA MARIANA;LIMPEZA DE TERRENO E CORTE DE MATO.;RUA BATISTA CEPELOS;;ACLIMAÇÃO;DALTON SILVANO DO AMARAL;
IND;;13;2003;;PMSP;PAVIMENTAÇÃO;RUA LIDIA SCHMIDT;;EMBU-GUAÇU;EDIVALDO ALVES ESTIMA;
IND;;14;2003;;PMSP;PAVIMENTAÇÃO;RUA DR DE ARACI NASCIMENTO;;PARQUE TAMARI;EDIVALDO ALVES ESTIMA;
IND;;15;2003;;PMSP;PAVIMENTAÇÃO;RUA MARIA DA COSTA BEZERRA;;JD RECANTO CAMPO BELO;EDIVALDO ALVES ESTIMA;
IND;;16;2003;;PMSP;PAVIMENTAÇÃO;RUA SILVESTRE JOSÉ DANTAS;;PARQUE TAMARI;EDIVALDO ALVES ESTIMA;
IND;;17;2003;;PMSP;PAVIMENTAÇÃO;RUA NAZLE MAUAD LUTSI;;PARQUE TAMARI;EDIVALDO ALVES ESTIMA;
IND;;18;2003;;PMSP;SOLICITA ILUMINAÇÃO PÚBLICA PARA O BAIRRO VILA BELLA - SÃO MATEUS.;;;;JOAO ANTONIO DA SILVA FILHO;
IND;;19;2003;;PMSP;SOLICITA IMPLANTAÇÃO DE SERVIÇO DE CORREIO NO BAIRRO JARDIM VILA BELA - SÃO MATEUS.;;;;JOAO ANTONIO DA SILVA FILHO;
IND;;20;2003;;PMSP;SOLICITA IMPLANTAÇÃO DE REDE DE ÁGUA, ESGOTO E PA-VIMENTAÇÃO NO BAIRRO JARDIM VILA BELA - SÃO MATEUS;;;;JOAO ANTONIO DA SILVA FILHO;
